Date,TAI,TAI_1,TAI_2,TAI_3,TAI_4,DCFM SMOOTHBYFILTER,O2,TAO,TAO_R1,TAO_R2,TAO_R3,TAO_R4,TWI,TWO
00:00:06 03-09-2025,142.329803466797,0,142.329803466797,0,0,47.0999984741211,10.9280567169189,143.099029541016,0,0,0,0,32,32
00:01:06 03-09-2025,142.439682006836,0,142.439682006836,0,0,43.2999992370605,10.9280567169189,143.15397644043,0,0,0,0,32,32
00:02:06 03-09-2025,142.219909667969,0,142.219909667969,0,0,43.0999984741211,10.9204254150391,143.099029541016,0,0,0,0,32,32
00:03:06 03-09-2025,142.439682006836,0,142.439682006836,0,0,45.2999992370605,10.9280567169189,143.15397644043,0,0,0,0,32,32
00:04:06 03-09-2025,142.384750366211,0,142.384750366211,0,0,47.7000007629395,10.9280567169189,143.208923339844,0,0,0,0,32,32
00:05:06 03-09-2025,142.76936340332,0,142.824310302734,0,0,42.2999992370605,10.9204254150391,143.099029541016,0,0,0,0,32,32
00:06:06 03-09-2025,142.76936340332,0,142.76936340332,0,0,43,10.9204254150391,143.263870239258,0,0,0,0,32,32
00:07:06 03-09-2025,142.49462890625,0,142.49462890625,0,0,45.2999992370605,10.9204254150391,143.208923339844,0,0,0,0,32,32
00:08:06 03-09-2025,142.604522705078,0,142.604522705078,0,0,22.7000007629395,11.0120010375977,143.15397644043,0,0,0,143.208923339844,32,32
00:09:06 03-09-2025,142.714416503906,0,142.714416503906,0,0,27.5,11.0196323394775,143.263870239258,0,0,0,143.263870239258,32,32
00:10:06 03-09-2025,143.044082641602,0,143.044082641602,0,0,28.7000007629395,10.9967384338379,143.373748779297,0,0,0,143.373748779297,32,32
00:11:06 03-09-2025,142.714416503906,0,142.714416503906,0,0,29,10.9356880187988,143.318817138672,0,0,0,143.318817138672,32,32
00:12:06 03-09-2025,142.659469604492,0,142.659469604492,0,0,30.1000003814697,10.9204254150391,143.318817138672,0,0,0,143.318817138672,32,32
00:13:06 03-09-2025,52.769287109375,0,0,0,0,55.2999992370605,18.9332904815674,64.8022613525391,0,64.8022613525391,0,0,32,32
00:14:06 03-09-2025,45.2967529296875,0,0,0,0,53.9000015258789,18.9180278778076,65.0220413208008,0,65.1868743896484,0,0,32,32
00:15:07 03-09-2025,41.0110321044922,0,0,0,0,52,18.9103965759277,64.1429214477539,0,64.0879745483398,0,0,32,32
00:16:07 03-09-2025,38.9780654907227,0,0,0,0,48.7999992370605,18.9027652740479,59.1429138183594,0,59.1429138183594,0,0,32,32
00:17:07 03-09-2025,37.9341087341309,0,0,0,0,49.7999992370605,18.8875026702881,54.6374206542969,0,54.6374206542969,0,0,32,32
00:18:07 03-09-2025,106.175918579102,106.175918579102,0,0,0,27.2000007629395,3.7622652053833,101.230865478516,0,0,0,0,32,32
00:19:07 03-09-2025,110.296806335449,110.296806335449,0,0,0,28.2999992370605,3.29675674438477,108.813285827637,0,0,0,0,32,32
00:20:07 03-09-2025,112.494606018066,112.494606018066,0,0,0,29.1000003814697,3.75463390350342,111.120979309082,0,0,0,0,32,32
00:21:07 03-09-2025,112.274826049805,112.274826049805,0,0,0,27.3999996185303,4.59407711029053,111.945159912109,0,0,0,0,32,32
00:22:07 03-09-2025,111.835266113281,112.109992980957,0,0,0,28.1000003814697,5.50983333587646,111.505599975586,0,0,0,0,32,32
