Date,TAI,TAI_1,TAI_2,TAI_3,TAI_4,CFM SMOOTHBYFILTER,O2,TAO,TAO_R1,TAO_R2,TAO_R3,TAO_R4,STATIC,TWI,TWO,GPM
00:00:05 03-09-2025,142.329803466797,0,142.329803466797,0,0,471.258483886719,10.9280567169189,142.989135742188,0,0,0,0,7.18913078308105,32,32,0
00:00:35 03-09-2025,142.934188842773,0,142.934188842773,0,0,460.851928710938,10.9280567169189,143.044082641602,0,0,0,0,7.12503910064697,32,32,0
00:01:05 03-09-2025,142.384750366211,0,142.384750366211,0,0,456.660949707031,10.9356880187988,143.099029541016,0,0,0,0,7.19828701019287,32,32,0
00:01:35 03-09-2025,142.824310302734,0,142.824310302734,0,0,403.199554443359,10.9280567169189,143.15397644043,0,0,0,0,7.11817169189453,32,32,0
00:02:05 03-09-2025,142.659469604492,0,142.824310302734,0,0,419.09716796875,10.9204254150391,143.263870239258,0,0,0,0,7.12046051025391,32,32,0
00:02:35 03-09-2025,142.934188842773,0,142.934188842773,0,0,439.653076171875,10.9204254150391,143.208923339844,0,0,0,0,7.18913078308105,32,32,0
00:03:05 03-09-2025,142.604522705078,0,142.604522705078,0,0,453.251037597656,10.9127941131592,143.044082641602,0,0,0,0,7.20286464691162,32,32,0
00:03:35 03-09-2025,142.659469604492,0,142.659469604492,0,0,467.485412597656,10.9127941131592,143.15397644043,0,0,0,0,7.1319055557251,32,32,0
00:04:05 03-09-2025,142.76936340332,0,142.76936340332,0,0,462.424133300781,10.9127941131592,143.318817138672,0,0,0,0,7.1845531463623,32,32,0
00:04:35 03-09-2025,142.934188842773,0,142.934188842773,0,0,419.639312744141,10.9051628112793,143.373748779297,0,0,0,0,7.17081928253174,32,32,0
00:05:05 03-09-2025,142.934188842773,0,142.934188842773,0,0,416.845336914063,10.9204254150391,143.428695678711,0,0,0,0,7.15021800994873,32,32,0
00:05:35 03-09-2025,142.879241943359,0,142.879241943359,0,0,455.702178955078,10.9127941131592,143.208923339844,0,0,0,0,7.225754737854,32,32,0
00:06:05 03-09-2025,142.76936340332,0,142.604522705078,0,0,455.439697265625,10.9127941131592,143.208923339844,0,0,0,0,7.14335060119629,32,32,0
00:06:36 03-09-2025,142.879241943359,0,142.659469604492,0,0,454.108856201172,10.9127941131592,143.208923339844,0,0,0,0,7.1845531463623,32,32,0
