Date,CFM_1,CFM_2,CFM_3,CFM_4,O2_1,O2_2,O2_3,O2_4,STATICPR_1,STATICPR_2,STATICPR_3,STATICPR_4
00:00:05 03-09-2025,0,471,0,0,0,10.9280567169189,0,0,0,7.17768573760986,0,0
00:00:35 03-09-2025,0,460,0,0,0,10.9280567169189,0,0,0,7.11817169189453,0,0
00:01:05 03-09-2025,0,456,0,0,0,10.9356880187988,0,0,0,7.1959981918335,0,0
00:01:35 03-09-2025,0,403,0,0,0,10.9280567169189,0,0,0,7.1319055557251,0,0
00:02:05 03-09-2025,0,419,0,0,0,10.9204254150391,0,0,0,7.1319055557251,0,0
00:02:35 03-09-2025,0,439,0,0,0,10.9204254150391,0,0,0,7.17539691925049,0,0
00:03:05 03-09-2025,0,453,0,0,0,10.9127941131592,0,0,0,7.19141960144043,0,0
00:03:35 03-09-2025,0,467,0,0,0,10.9127941131592,0,0,0,7.11130523681641,0,0
00:04:05 03-09-2025,0,462,0,0,0,10.9204254150391,0,0,0,7.1845531463623,0,0
00:04:35 03-09-2025,0,419,0,0,0,10.9051628112793,0,0,0,7.17310810089111,0,0
00:05:05 03-09-2025,0,416,0,0,0,10.9204254150391,0,0,0,7.14335060119629,0,0
00:05:35 03-09-2025,0,455,0,0,0,10.9051628112793,0,0,0,7.25551223754883,0,0
00:06:05 03-09-2025,0,455,0,0,0,10.9127941131592,0,0,0,7.13877296447754,0,0
00:06:36 03-09-2025,0,454,0,0,0,10.9127941131592,0,0,0,7.17310810089111,0,0
00:07:06 03-09-2025,0,453,0,0,0,10.9127941131592,0,0,0,7.20744323730469,0,0
00:07:36 03-09-2025,0,321,0,0,0,10.9585819244385,0,0,0,7.40887451171875,0,0
00:08:06 03-09-2025,0,284,0,0,0,11.0120010375977,0,0,0,7.39514064788818,0,0
00:08:36 03-09-2025,0,264,0,0,0,11.0272636413574,0,0,0,7.41574192047119,0,0
00:09:06 03-09-2025,0,229,0,0,0,11.0120010375977,0,0,0,7.45007705688477,0,0
00:09:36 03-09-2025,0,279,0,0,0,10.9967384338379,0,0,0,7.39056301116943,0,0
00:10:06 03-09-2025,0,287,0,0,0,10.9814758300781,0,0,0,7.40200805664063,0,0
00:10:36 03-09-2025,0,288,0,0,0,10.9662132263184,0,0,0,7.4454984664917,0,0
00:11:06 03-09-2025,0,224,0,0,0,10.9356880187988,0,0,0,7.50501251220703,0,0
00:11:36 03-09-2025,0,346,0,0,0,10.9280567169189,0,0,0,7.46152210235596,0,0
00:12:06 03-09-2025,0,238,0,0,0,10.9204254150391,0,0,0,7.43405342102051,0,0
00:12:36 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:13:06 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:13:36 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:14:06 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:14:36 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:15:06 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:15:36 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:16:06 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:16:36 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:17:06 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
00:17:36 03-09-2025,273,0,0,0,7.90606117248535,0,0,0,2.92701292037964,0,0,0
00:18:06 03-09-2025,270,0,0,0,3.77752780914307,0,0,0,2.88123273849487,0,0,0
00:18:36 03-09-2025,277,0,0,0,3.25096893310547,0,0,0,2.79196166992188,0,0,0
00:19:06 03-09-2025,283,0,0,0,3.29675674438477,0,0,0,2.81256294250488,0,0,0
00:19:36 03-09-2025,272,0,0,0,3.4570140838623,0,0,0,2.77593898773193,0,0,0
00:20:06 03-09-2025,291,0,0,0,3.75463390350342,0,0,0,2.74160385131836,0,0,0
00:20:36 03-09-2025,277,0,0,0,4.14383029937744,0,0,0,2.74160385131836,0,0,0
00:21:06 03-09-2025,271,0,0,0,4.57881450653076,0,0,0,2.7736496925354,0,0,0
00:21:36 03-09-2025,289,0,0,0,5.04432392120361,0,0,0,2.75533771514893,0,0,0
00:22:06 03-09-2025,281,0,0,0,5.50220203399658,0,0,0,2.75076007843018,0,0,0
00:22:36 03-09-2025,282,0,0,0,6.04402446746826,0,0,0,2.7004017829895,0,0,0
00:23:06 03-09-2025,282,0,0,0,6.45611476898193,0,0,0,2.77136087417603,0,0,0
00:23:37 03-09-2025,283,0,0,0,6.80715465545654,0,0,0,2.72558069229126,0,0,0
00:24:07 03-09-2025,292,0,0,0,7.15819454193115,0,0,0,2.7324481010437,0,0,0
00:24:37 03-09-2025,284,0,0,0,7.45581436157227,0,0,0,2.69811296463013,0,0,0
00:25:07 03-09-2025,288,0,0,0,7.7076473236084,0,0,0,2.77136087417603,0,0,0
00:25:37 03-09-2025,277,0,0,0,7.94421768188477,0,0,0,2.74847078323364,0,0,0
00:26:07 03-09-2025,286,0,0,0,8.1502628326416,0,0,0,2.72558069229126,0,0,0
00:26:37 03-09-2025,278,0,0,0,8.34867668151855,0,0,0,2.7736496925354,0,0,0
